epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5699.61,0.55411,0.37579,0.97666,0.99922,1,0.995,0.9338,0.36239,0.26396,0.8449,0.00043184,0.00043184,0.00043184
101,5758.18,0.56834,0.3892,0.97416,0.9992,1,0.995,0.95644,0.30191,0.24859,0.82834,0.000416,0.000416,0.000416
102,5820.38,0.56954,0.38916,0.98216,0.99918,1,0.995,0.97564,0.27312,0.2428,0.82277,0.00040016,0.00040016,0.00040016
103,5881.41,0.55974,0.3812,0.95953,0.99918,1,0.995,0.97415,0.27477,0.2389,0.8186,0.00038432,0.00038432,0.00038432
104,5940.52,0.55569,0.38169,0.97394,0.99917,1,0.995,0.97731,0.25594,0.22497,0.81583,0.00036848,0.00036848,0.00036848
105,5999.66,0.56754,0.38073,0.99187,0.99918,1,0.995,0.93872,0.34088,0.25447,0.83936,0.00035264,0.00035264,0.00035264
106,6058.1,0.55426,0.37758,0.97623,0.99916,1,0.995,0.97068,0.24667,0.22705,0.81394,0.0003368,0.0003368,0.0003368
107,6115.85,0.56461,0.37461,0.97678,0.99917,1,0.995,0.97458,0.24075,0.22342,0.81071,0.00032096,0.00032096,0.00032096
108,6171.15,0.55043,0.37009,0.96758,0.99919,1,0.995,0.96238,0.26663,0.22694,0.81503,0.00030512,0.00030512,0.00030512
109,6233.08,0.55572,0.37217,0.98025,0.9992,1,0.995,0.97868,0.24477,0.21526,0.8111,0.00028928,0.00028928,0.00028928
110,6291.35,0.50725,0.359,0.96006,0.9992,1,0.995,0.97379,0.25872,0.22189,0.81344,0.00027344,0.00027344,0.00027344
111,6350.58,0.5268,0.36798,0.96013,0.99921,1,0.995,0.96931,0.25574,0.2205,0.81051,0.0002576,0.0002576,0.0002576
112,6403.87,0.51373,0.36628,0.96714,0.99921,1,0.995,0.98421,0.24434,0.21055,0.81001,0.00024176,0.00024176,0.00024176
113,6460.65,0.51016,0.35963,0.95807,0.99921,1,0.995,0.98236,0.23488,0.20828,0.80822,0.00022592,0.00022592,0.00022592
114,6517.07,0.52496,0.3783,0.96685,0.9992,1,0.995,0.98452,0.22975,0.20661,0.80578,0.00021008,0.00021008,0.00021008
115,6570.82,0.50277,0.35367,0.95476,0.9992,1,0.995,0.98567,0.2298,0.20395,0.80636,0.00019424,0.00019424,0.00019424
116,6622.54,0.41659,0.29657,0.87909,0.9992,1,0.995,0.97904,0.23697,0.21051,0.80715,0.0001784,0.0001784,0.0001784
117,6677.64,0.38299,0.27989,0.86224,0.9992,1,0.995,0.97706,0.23464,0.21462,0.80648,0.00016256,0.00016256,0.00016256
118,6732.14,0.3795,0.27966,0.85604,0.9992,1,0.995,0.9747,0.24184,0.2134,0.80737,0.00014672,0.00014672,0.00014672
119,6789.55,0.36235,0.2646,0.85439,0.99921,1,0.995,0.97559,0.2448,0.21308,0.80767,0.00013088,0.00013088,0.00013088
120,6842.52,0.37833,0.27073,0.86446,0.99922,1,0.995,0.97628,0.24148,0.21583,0.80658,0.00011504,0.00011504,0.00011504
121,6894.85,0.36749,0.26564,0.855,0.99923,1,0.995,0.97571,0.2469,0.2175,0.80915,9.92e-05,9.92e-05,9.92e-05
122,6951.01,0.36244,0.26187,0.85201,0.99923,1,0.995,0.9848,0.2388,0.21114,0.80728,8.336e-05,8.336e-05,8.336e-05
123,7007.2,0.3564,0.25476,0.84399,0.99923,1,0.995,0.98773,0.23498,0.2102,0.80596,6.752e-05,6.752e-05,6.752e-05
124,7064.98,0.34581,0.25258,0.83979,0.99923,1,0.995,0.98945,0.23129,0.20738,0.80515,5.168e-05,5.168e-05,5.168e-05
125,7120.1,0.34809,0.25555,0.85004,0.99923,1,0.995,0.98926,0.23079,0.20758,0.80498,3.584e-05,3.584e-05,3.584e-05
